center,left,right,steering,,,
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_078.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_078.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_078.jpg,0.05,1,0,13.9623
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_178.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_178.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_178.jpg,0,1,0,14.65269
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_276.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_276.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_276.jpg,0,1,0,15.1343
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_379.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_379.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_379.jpg,0,1,0,15.65496
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_480.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_480.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_480.jpg,0,1,0,16.21033
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_545.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_545.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_545.jpg,0.1,1,0,16.55994
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_644.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_644.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_644.jpg,0,1,0,17.28541
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_37_41_712.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_37_41_712.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_37_41_712.jpg,0,1,0,17.77871
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_04_602.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_04_602.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_04_602.jpg,0,0,0,7.581709E-05
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_04_675.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_04_675.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_04_675.jpg,0,0,0,9.92674E-05
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_04_791.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_04_791.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_04_791.jpg,0,0.3009782,0,0.2398575
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_04_892.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_04_892.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_04_892.jpg,0,0.595881,0,0.8122178
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_04_991.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_04_991.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_04_991.jpg,0,0.8958392,0,1.687587
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_074.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_074.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_074.jpg,0,1,0,2.808013
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_173.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_173.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_173.jpg,0,1,0,3.979338
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_240.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_240.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_240.jpg,0,1,0,4.680585
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_567.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_567.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_567.jpg,0,1,0,8.350343
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_631.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_631.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_631.jpg,0,1,0,9.250089
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_731.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_731.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_731.jpg,0,1,0,10.36482
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_829.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_829.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_829.jpg,0,1,0,11.5679
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_896.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_896.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_896.jpg,0,1,0,11.87796
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_05_963.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_05_963.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_05_963.jpg,-0.15,1,0,12.74477
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_045.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_045.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_045.jpg,0,1,0,13.72988
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_127.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_127.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_127.jpg,0,1,0,14.56862
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_226.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_226.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_226.jpg,0,1,0,15.39357
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_295.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_295.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_295.jpg,0,1,0,16.25856
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_364.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_364.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_364.jpg,0,1,0,17.13311
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_432.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_432.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_432.jpg,0,1,0,17.95268
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_530.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_530.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_530.jpg,0,1,0,18.81403
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_598.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_598.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_598.jpg,-0.15,1,0,19.56163
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_695.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_695.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_695.jpg,0,1,0,20.42201
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_764.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_764.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_764.jpg,0,1,0,21.11003
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_863.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_863.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_863.jpg,0,1,0,22.04759
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_06_960.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_06_960.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_06_960.jpg,0,1,0,23.06517
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_028.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_028.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_028.jpg,0,1,0,23.84136
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_095.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_095.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_095.jpg,0,1,0,24.4191
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_193.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_193.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_193.jpg,0,1,0,25.38326
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_292.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_292.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_292.jpg,0,1,0,26.3362
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_365.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_365.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_365.jpg,0,1,0,26.90317
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_465.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_465.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_465.jpg,0.15,1,0,27.83203
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_561.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_561.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_561.jpg,0,1,0,28.73219
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_628.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_628.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_628.jpg,0,1,0,29.46752
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_728.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_728.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_728.jpg,0,1,0,30.19238
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_827.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_827.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_827.jpg,0,1,0,30.19032
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_894.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_894.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_894.jpg,0,1,0,30.1904
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_07_961.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_07_961.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_07_961.jpg,0,1,0,30.19029
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_059.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_059.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_059.jpg,0.1,1,0,30.18768
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_127.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_127.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_127.jpg,0,0.894886,0,30.18728
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_226.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_226.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_226.jpg,0,0.5974298,0,30.11773
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_295.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_295.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_295.jpg,0.1,0.3919361,0,30.02436
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_397.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_397.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_397.jpg,0.35,0.08553123,0,29.8768
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_464.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_464.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_464.jpg,0.5000001,0,0,29.60538
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_564.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_564.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_564.jpg,0.7500002,0,0,29.01179
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_665.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_665.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_665.jpg,0,0,0,28.65635
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_769.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_769.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_769.jpg,0,0,0,28.15261
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_864.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_864.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_864.jpg,0,0,0,27.38695
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_08_966.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_08_966.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_08_966.jpg,0,0,0,25.88427
/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/center_2017_05_22_14_38_09_049.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/left_2017_05_22_14_38_09_049.jpg,/home/akshay/Akshay/Workspace/Python/Udacity-Self Drive/IMG/right_2017_05_22_14_38_09_049.jpg,0,0,0,25.1802
