x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x17,x18,x19
y,5000,18,t,n,n,M,M,n,p,y,c,30,m,15,J,a,n
y,5000,26,d,n,n,M,M,n,p,n,b,0,m,10,M,a,n
y,4000,25,t,n,n,M,M,n,p,n,c,4,m,4,J,p,n
y,4000,14,d,n,n,M,M,n,p,n,c,40,m,6,V,a,n
y,2000,19,s,n,n,F,M,n,p,y,c,6,m,40,V,a,n
y,5000,63,u,n,n,F,M,n,p,n,c,0,m,14,W,a,n
y,5000,55,t,n,n,F,M,n,p,n,c,0,s,19,V,p,n
y,3000,45,u,n,n,M,M,n,p,n,c,0,m,20,V,p,n
y,1000,42,h,n,n,F,S,n,p,y,c,0,m,14,V,a,n
y,3000,33,t,n,n,F,M,n,p,n,b,0,s,27,V,a,e
y,5000,21,u,n,n,M,M,n,p,n,c,0,s,3,J,a,n
y,3000,28,s,n,n,M,S,n,p,y,c,0,m,3,V,a,n
y,2000,25,t,n,n,M,M,n,p,n,c,0,m,8,S,p,n
y,4000,39,v,n,n,M,M,n,p,n,c,0,m,6,J,a,n
y,5000,31,t,n,n,F,S,n,p,n,c,8,s,7,V,a,n
y,3000,29,v,n,n,M,M,n,p,n,c,0,m,23,V,a,n
y,5000,21,g,n,n,M,M,n,p,n,c,0,m,13,V,a,n
y,5000,33,s,n,n,F,M,n,p,n,c,0,m,11,V,a,n
y,4000,26,t,n,n,M,S,n,p,y,c,16,m,10,J,p,n
y,5000,21,h,n,n,M,M,n,p,n,c,0,s,20,V,a,n
y,3000,37,v,n,n,M,M,n,p,n,c,0,s,4,P,a,e
y,5000,14,u,n,n,F,S,n,p,n,c,10,m,6,P,a,n
y,5000,14,t,n,n,F,S,n,p,n,c,8,m,4,L,a,n
y,4000,13,u,n,n,M,M,n,p,n,c,4,m,30,V,a,i
y,3000,16,u,n,n,M,M,n,p,n,c,0,s,32,S,a,n
y,5000,13,s,n,n,F,M,n,p,n,c,0,s,27,X,a,n
y,2000,12,j,n,n,M,M,n,p,y,c,0,m,32,W,a,n
y,5000,11,u,n,n,M,M,n,p,n,c,0,s,12,X,a,n
y,1000,13,b,n,n,F,S,n,p,y,c,12,m,32,W,a,n
y,2000,11,v,n,n,F,M,n,p,n,c,0,m,4,V,a,n
y,4000,15,b,n,n,F,S,n,p,n,c,10,m,12,K,v,n
y,5000,46,t,n,n,M,M,n,p,n,b,0,m,4,V,p,e
y,1000,40,t,n,n,M,M,n,p,n,c,20,s,4,P,a,n
y,1000,51,t,n,n,M,M,n,p,n,c,10,s,6,V,a,n
y,1000,49,x,n,n,M,S,n,p,n,c,10,s,42,V,a,n
y,1000,41,s,n,n,F,M,n,p,n,p,0,s,3,V,a,n
y,1000,50,t,n,n,M,M,n,p,n,p,0,s,9,V,a,n
y,1000,55,t,n,n,M,M,n,p,n,p,0,s,2,V,a,n
y,1000,55,t,n,n,M,M,n,p,n,p,0,s,29,V,a,n
y,1000,58,s,n,n,F,M,n,p,n,p,0,s,8,J,a,e
y,1000,58,t,n,n,M,M,n,p,n,p,0,s,20,D,a,n
y,1000,21,t,n,n,M,S,n,p,n,c,10,s,6,V,p,n
y,1000,25,s,n,n,F,M,n,p,n,c,10,s,30,V,a,n
y,1000,29,s,n,n,F,M,n,p,n,c,20,m,4,V,a,n
y,1000,31,s,n,n,F,M,n,p,n,c,16,s,6,S,p,n
y,1000,30,s,n,n,F,M,n,p,n,c,100,m,20,P,a,n
y,1000,24,s,n,n,F,S,n,p,n,c,38,m,3,J,p,n
y,1000,38,t,n,n,M,S,n,p,n,c,18,s,33,V,a,h
y,1000,32,t,n,n,M,M,n,p,n,p,0,s,24,V,a,n
y,1000,29,t,n,n,M,M,n,p,n,p,0,s,2,J,p,n
y,4000,31,t,n,n,F,M,n,p,n,p,0,m,64,V,v,n
y,1000,25,s,n,n,F,M,n,p,n,p,0,s,2,J,a,n
y,1000,35,t,n,n,M,M,n,p,n,p,0,s,14,V,p,n
y,1000,36,s,n,n,F,M,n,p,n,p,0,s,0,V,a,s
y,1000,16,t,n,n,F,S,n,p,n,c,14,s,17,V,p,e
y,1000,16,u,n,n,F,D,n,p,n,c,6,s,16,J,a,n
y,2000,18,t,n,n,M,M,n,p,n,p,0,s,14,V,a,n
y,1000,17,t,n,n,M,M,n,p,n,p,0,s,66,T,a,e
y,1000,42,t,n,n,M,M,n,p,y,c,2,m,14,J,a,e
y,1000,54,u,n,n,F,W,n,p,y,c,4,s,4,V,a,e
y,1000,22,t,n,n,M,M,n,p,y,c,8,s,25,V,a,n
y,1000,29,t,n,n,M,M,n,p,y,c,92,s,4,T,a,e
y,1000,34,u,n,n,F,S,n,p,y,p,0,s,14,J,a,e
y,1000,15,n,n,n,M,M,n,p,y,c,16,s,2,P,a,n
y,1000,14,t,n,n,M,S,n,p,y,c,10,m,5,V,p,e
y,5000,13,s,n,n,F,M,n,p,y,c,20,s,11,T,a,n
y,1000,19,t,n,n,M,M,n,p,y,p,0,s,18,W,v,n
y,4000,21,g,n,n,M,S,y,p,n,c,10,m,40,V,a,n
y,5000,31,u,n,n,M,M,n,p,n,p,0,m,16,V,a,n
y,1000,38,s,n,n,F,S,n,o,y,c,20,m,22,S,a,n
y,4000,38,t,n,n,F,M,n,p,n,c,10,m,1,X,p,n
y,5000,21,t,n,n,M,S,n,p,n,c,170,m,1,G,a,n
y,1000,44,h,n,n,F,S,n,p,n,p,0,s,3,V,a,n
y,5000,55,u,n,n,M,M,n,o,n,p,0,s,16,V,a,n
y,4000,55,c,n,n,F,M,n,p,n,p,0,m,20,S,a,n
y,1000,24,s,n,n,F,S,n,p,n,p,0,s,2,G,a,n
y,3000,25,s,n,n,M,M,n,p,y,p,0,m,6,W,a,n
y,3000,25,t,n,n,F,S,n,p,n,p,0,m,6,V,a,n
y,2000,32,t,n,n,M,M,n,p,n,p,0,m,4,J,a,n
y,1000,33,t,n,n,F,M,n,o,n,p,0,m,7,D,a,n
y,4000,32,v,n,n,M,M,n,p,n,p,0,m,16,V,p,n
y,5000,33,v,n,n,M,S,n,p,n,p,0,m,52,V,a,e
y,5000,38,s,n,n,M,M,n,p,y,p,0,m,2,V,a,n
y,5000,34,v,n,n,M,M,n,p,n,p,0,m,1,P,a,n
y,5000,29,u,n,n,F,M,n,p,n,p,0,m,13,S,p,n
y,5000,13,t,n,n,F,M,n,p,n,p,0,m,9,J,a,n
y,5000,19,a,n,n,M,M,n,p,n,p,0,m,10,S,a,e
y,5000,38,t,n,n,M,M,n,p,n,p,0,s,2,V,a,e
y,2000,27,t,n,n,M,M,n,p,y,p,0,s,0,K,a,n
y,1000,48,t,n,n,M,M,n,p,n,p,0,m,5,J,a,n
y,3000,56,b,n,n,M,M,n,p,n,p,0,m,5,S,a,n
y,5000,40,s,n,n,M,M,n,p,n,p,0,m,2,V,v,n
y,5000,28,w,n,n,M,M,n,p,n,c,6,m,5,V,a,n
y,5000,26,v,n,n,F,M,n,p,n,p,0,m,9,V,a,e
y,4000,61,d,n,n,F,M,n,p,y,c,2,m,4,V,a,n
y,1000,64,t,n,n,F,M,n,p,n,p,0,m,6,J,a,n
y,2000,52,v,n,n,F,M,n,p,y,p,0,s,28,P,a,n
y,5000,66,s,n,n,F,M,n,p,y,p,0,m,22,P,p,n
y,3000,58,u,n,n,F,S,n,p,n,p,0,m,40,P,a,n
y,5000,52,t,n,n,M,M,n,p,n,p,0,m,42,V,a,n
y,1000,63,v,n,n,F,S,n,p,n,p,0,s,3,K,a,n
y,4000,61,t,n,n,F,M,n,p,n,p,0,m,20,P,a,s
y,1000,61,t,n,n,M,M,n,p,n,p,0,s,57,V,a,n
y,5000,46,v,n,n,F,M,n,p,n,p,0,m,14,V,a,n
y,5000,51,u,n,n,F,W,n,p,n,p,0,m,61,V,a,n
y,3000,26,v,n,n,M,M,n,p,n,c,14,m,15,V,a,e
y,5000,31,c,n,n,F,S,n,p,n,p,0,m,7,V,a,e
y,5000,33,i,n,n,M,S,n,p,n,p,0,m,33,S,p,n
y,4000,29,s,n,n,M,S,n,p,n,p,0,m,17,G,a,n
y,5000,24,s,n,n,F,S,n,p,n,p,0,m,13,J,a,n
y,1000,36,v,n,n,F,M,n,p,n,p,0,s,54,V,a,n
y,3000,23,s,n,n,F,M,n,p,n,p,0,s,2,P,a,n
y,1000,30,b,n,n,M,M,n,p,n,p,0,m,35,J,a,e
y,4000,34,j,y,n,F,M,n,p,n,p,0,m,10,S,a,n
y,4000,11,s,n,n,M,M,n,p,n,p,0,m,3,V,a,s
y,1000,47,s,n,n,M,M,n,p,n,c,20,m,36,V,a,e
y,5000,42,t,n,n,M,M,n,p,n,c,4,m,20,V,a,h
y,3000,60,t,n,n,F,S,n,p,n,p,0,s,2,J,a,e
y,2000,52,u,n,n,F,S,n,p,n,p,0,s,15,G,a,e
y,3000,55,t,n,n,M,M,n,p,n,p,0,m,16,J,a,n
y,1000,52,t,n,n,M,M,n,p,n,p,0,m,15,A,a,n
y,4000,43,p,n,n,M,M,n,p,n,p,0,m,14,J,a,n
y,1000,57,u,n,n,M,M,n,p,n,p,0,m,8,W,a,n
y,5000,30,n,n,n,F,S,n,p,y,c,70,s,2,D,a,s
y,4000,22,t,n,n,F,M,n,p,y,c,20,m,1,J,a,n
y,4000,31,u,n,n,F,S,n,p,n,c,28,m,24,J,a,n
y,5000,22,s,n,n,F,S,n,p,n,c,100,s,21,J,a,e
y,4000,24,t,n,n,F,S,n,p,n,c,14,s,15,V,a,n
y,5000,20,t,n,y,F,M,n,p,n,c,2,m,14,S,a,n
y,5000,24,t,n,y,M,M,n,p,n,c,2,m,10,G,v,n
y,5000,23,s,n,n,M,M,n,p,n,c,26,m,9,S,a,n
y,5000,20,u,n,n,F,M,n,p,n,c,22,m,5,V,a,n
y,3000,34,t,n,n,F,S,n,p,n,c,2,s,38,V,a,n
y,4000,20,s,n,n,F,S,n,p,n,c,6,s,3,V,a,n
y,2000,27,t,n,n,M,S,n,p,n,b,0,m,6,V,a,n
y,3000,34,s,n,n,F,M,n,p,y,p,0,m,23,J,a,n
y,5000,22,t,n,n,F,M,n,p,n,p,0,m,20,V,a,e
y,2000,23,t,n,n,M,M,n,p,n,p,0,m,19,M,a,e
y,4000,33,s,n,n,M,M,n,p,y,p,0,s,17,J,a,n
y,1000,21,w,n,n,F,M,n,p,y,p,0,s,16,V,a,e
y,5000,34,t,n,n,F,M,n,p,n,p,0,m,14,V,v,e
y,2000,21,t,n,n,M,M,n,p,n,p,0,m,4,V,a,n
y,3000,17,v,n,n,F,S,n,p,n,c,50,m,34,M,a,e
y,5000,17,t,n,n,F,M,n,p,n,c,20,m,18,V,a,n
y,5000,14,v,n,n,M,S,n,p,n,c,16,m,3,V,a,n
y,5000,13,a,n,n,F,M,n,p,n,p,0,m,3,V,a,n
y,1000,49,s,n,n,F,S,n,p,n,p,0,s,7,P,a,n
y,1000,40,n,n,n,F,M,n,p,n,p,0,s,0,V,v,n
y,5000,28,v,n,n,M,M,n,p,n,c,90,m,29,Q,a,n
y,2000,27,s,n,n,F,M,n,p,n,p,0,m,73,T,a,n
y,2000,34,s,n,n,M,M,n,p,n,p,0,m,8,J,a,n
y,5000,27,t,n,n,F,S,n,p,n,p,0,m,8,S,p,n
y,2000,46,o,n,n,M,M,n,p,n,c,8,m,12,V,a,n
y,5000,24,t,n,n,M,M,n,p,n,c,4,m,12,V,a,n
y,4000,25,s,n,n,F,M,n,p,n,p,0,m,24,K,a,n
y,5000,41,s,n,n,F,M,n,p,y,p,0,m,18,K,a,n
y,4000,45,t,n,n,F,M,n,p,n,c,0,s,11,V,a,n
y,3000,42,s,n,n,M,M,n,p,n,c,4,m,29,W,v,n
y,5000,15,m,n,n,M,D,n,p,n,c,4,s,10,V,a,n
y,5000,16,v,n,n,F,S,n,p,n,c,0,s,5,V,a,n
y,1000,16,s,n,n,F,M,n,p,n,c,10,m,4,V,a,n
y,2000,58,u,n,n,F,M,n,p,n,p,0,m,60,J,a,n
y,4000,57,v,n,n,M,M,n,o,n,p,0,s,21,S,a,n
y,2000,61,t,n,n,F,M,n,p,n,p,0,s,18,V,a,n
y,3000,51,t,n,n,M,M,n,p,n,p,0,s,57,S,a,n
y,1000,64,s,n,n,M,S,n,p,n,p,0,s,14,S,a,n
y,1000,30,s,n,n,F,D,n,p,n,p,0,s,30,V,a,n
y,4000,22,c,y,n,M,M,n,p,n,p,0,m,31,V,a,n
y,3000,33,s,n,n,M,M,n,p,n,c,10,m,18,V,a,e
y,5000,16,s,n,n,F,S,n,p,n,c,8,m,2,V,p,n
y,3000,31,u,n,n,M,M,n,p,n,c,22,m,45,V,a,n
y,5000,20,h,n,n,F,M,n,p,n,c,6,m,23,V,a,e
y,3000,40,z,n,n,F,S,n,p,n,c,8,m,32,S,p,n
y,2000,47,z,n,n,M,S,n,p,n,c,50,m,15,S,a,n
y,4000,47,z,n,n,M,S,n,p,n,c,38,s,7,V,a,n
y,5000,54,z,n,n,M,M,n,p,n,c,14,m,75,V,a,e
y,2000,41,z,n,n,M,S,n,p,n,c,4,s,24,S,v,n
y,5000,43,z,n,n,F,S,n,p,n,c,14,s,14,V,p,n
y,3000,45,z,n,n,M,M,y,p,n,c,14,m,16,J,p,n
y,5000,45,z,n,n,M,M,n,p,n,p,0,m,45,V,a,n
y,3000,64,z,n,n,M,S,n,p,n,p,0,s,64,V,p,n
y,5000,46,z,n,y,F,M,n,p,n,p,0,m,19,D,p,n
y,5000,58,z,n,n,F,M,n,p,n,p,0,s,19,J,a,n
y,5000,43,z,n,n,F,M,n,p,n,p,0,s,9,J,p,n
y,2000,55,z,n,n,M,D,n,p,n,p,0,s,7,V,a,s
y,1000,49,z,n,n,F,S,n,p,n,p,0,m,5,V,a,n
y,5000,52,z,n,n,M,M,n,p,n,p,0,m,6,J,a,n
y,3000,49,z,n,n,M,S,n,p,n,p,0,s,43,W,a,n
y,5000,53,z,n,n,F,S,n,p,n,p,0,m,38,V,a,n
y,2000,42,z,n,n,F,S,n,p,n,p,0,s,38,V,a,n
y,4000,56,z,n,n,F,M,n,p,n,p,0,m,30,V,p,n
y,5000,49,z,n,n,M,M,n,p,n,p,0,m,24,P,p,n
y,5000,44,z,n,n,F,M,y,p,n,p,0,m,54,V,p,n
y,1000,63,z,n,n,M,M,n,p,n,p,0,m,12,J,a,n
y,1000,41,z,n,n,F,M,n,p,n,p,0,m,40,V,a,n
y,2000,47,z,n,n,M,M,n,p,n,p,0,m,13,V,a,n
y,1000,49,z,n,n,M,M,n,p,n,p,0,m,34,V,p,n
y,5000,58,z,n,n,M,S,y,p,n,p,0,m,72,V,a,n
y,2000,61,z,n,n,F,S,n,p,n,p,0,s,39,V,a,n
y,3000,43,z,n,n,M,M,n,p,n,p,0,s,23,D,p,n
y,2000,47,z,n,n,M,D,n,p,n,p,0,m,18,V,a,n
y,2000,44,z,n,n,F,M,n,p,n,p,0,m,79,J,a,s
y,1000,52,z,n,n,F,W,n,p,n,p,0,m,79,J,a,e
y,4000,58,z,n,n,F,M,n,p,n,p,0,m,14,V,a,n
y,1000,54,z,n,n,F,M,n,p,n,p,0,s,54,J,a,n
y,5000,44,z,n,n,M,M,n,p,n,p,0,m,70,V,a,n
y,2000,47,z,n,n,M,W,n,p,n,p,0,m,12,A,a,e
y,2000,44,z,n,n,F,M,n,p,n,p,0,m,30,V,a,n
y,5000,51,z,n,n,M,M,n,p,n,p,0,m,13,P,p,n
y,5000,43,z,n,n,F,M,n,p,n,p,0,m,10,D,a,n
y,5000,41,z,n,n,M,M,y,p,n,p,0,m,9,S,a,n
y,2000,52,z,n,n,F,S,n,p,n,p,0,m,52,V,a,n
y,4000,48,z,n,n,M,M,n,p,n,p,0,s,3,J,a,n
y,2000,44,z,n,n,F,M,n,p,n,p,0,s,6,V,p,n
y,2000,47,z,n,n,F,W,n,p,n,p,0,m,2,J,a,n
y,5000,48,z,n,n,M,M,n,p,n,p,0,s,4,S,p,n
y,5000,50,z,n,n,M,M,y,p,n,p,0,m,3,W,p,n
y,5000,49,z,n,n,F,S,n,p,n,p,0,m,3,V,a,n
y,3000,45,z,n,n,M,S,n,p,n,p,0,m,3,V,a,e
y,3000,49,z,n,n,M,M,n,p,n,p,0,s,60,V,a,n
y,1000,43,z,n,n,F,S,n,p,n,p,0,m,37,J,p,n
y,3000,63,z,n,n,M,M,n,p,n,p,0,s,80,D,a,e
y,1000,54,z,n,n,M,S,n,p,n,p,0,s,76,J,a,n
y,5000,47,z,n,y,M,M,n,p,n,p,0,m,3,V,p,n
y,5000,22,z,n,n,F,M,n,p,n,c,20,s,8,V,a,e
y,1000,23,z,n,n,F,M,n,p,n,c,20,m,5,V,a,n
y,3000,39,z,n,n,M,M,n,p,n,c,4,m,7,V,a,n
y,2000,25,z,n,n,F,M,n,p,n,c,36,m,18,V,a,n
y,4000,24,z,n,n,M,M,n,p,n,c,24,s,22,S,a,e
y,3000,27,z,n,n,M,S,n,p,n,c,2,m,18,V,p,n
y,3000,32,z,n,n,M,M,n,p,n,c,12,m,33,V,a,n
y,2000,39,z,n,n,M,S,n,p,n,c,2,s,29,S,p,n
y,2000,30,z,n,n,M,S,n,p,n,c,20,m,43,V,p,n
y,5000,30,z,n,n,M,M,n,p,n,c,72,s,2,J,a,n
y,4000,27,z,n,n,M,S,n,p,n,c,40,m,3,J,a,h
y,2000,38,z,n,n,M,M,n,p,n,f,0,m,41,J,a,n
y,3000,38,z,n,n,M,M,n,p,n,f,0,m,35,K,a,n
y,1000,23,z,n,n,F,D,n,p,n,p,0,s,41,V,a,n
y,1000,34,z,n,n,F,M,n,p,n,p,0,s,33,V,p,n
y,1000,22,z,n,n,M,M,n,p,n,p,0,m,26,V,a,e
y,3000,29,z,n,n,M,M,n,p,n,p,0,m,23,J,a,n
y,5000,22,z,n,n,M,M,n,p,n,p,0,m,13,V,p,n
y,2000,25,z,n,n,F,M,n,p,n,p,0,m,10,H,a,n
y,2000,28,z,n,n,F,M,n,p,n,p,0,m,17,J,a,n
y,2000,21,z,n,n,M,M,n,p,n,p,0,m,9,V,a,n
y,3000,29,z,n,n,F,S,n,p,n,p,0,m,9,V,a,n
y,1000,37,z,n,n,F,D,n,p,n,p,0,s,9,L,a,n
y,2000,21,z,n,n,F,M,n,p,n,p,0,m,22,V,a,n
y,5000,36,z,n,n,F,M,n,p,n,p,0,s,7,V,p,n
y,1000,20,z,n,n,M,M,n,p,n,p,0,s,6,V,p,n
y,2000,38,z,n,n,F,S,n,p,n,p,0,m,3,P,a,e
y,1000,29,z,n,n,F,S,n,p,n,p,0,m,8,V,a,n
y,5000,27,z,n,n,F,S,n,p,n,p,0,m,8,V,a,n
y,5000,30,z,n,n,F,M,y,p,n,p,0,m,5,W,a,n
y,5000,21,z,n,n,F,M,n,p,n,p,0,m,30,V,a,n
y,2000,30,z,n,n,F,M,n,p,n,p,0,m,15,J,a,n
y,2000,25,z,n,n,F,M,n,p,n,p,0,m,4,S,a,n
y,5000,24,z,n,n,F,M,n,p,n,p,0,m,13,S,a,e
y,5000,24,z,n,n,M,M,n,p,n,p,0,m,13,V,a,h
y,3000,21,z,n,n,M,S,n,p,n,p,0,s,11,W,a,n
y,1000,23,z,n,n,F,M,n,p,n,p,0,s,27,P,p,n
y,1000,20,z,n,n,F,M,n,p,n,p,0,m,40,J,a,n
y,5000,38,z,n,n,F,D,n,p,n,p,0,m,20,V,a,s
y,5000,26,z,n,n,M,M,n,p,n,p,0,m,35,J,a,n
y,2000,25,z,n,n,F,S,n,p,n,p,0,m,24,W,a,e
y,5000,36,z,n,n,F,S,n,p,n,p,0,m,73,V,p,n
y,5000,39,z,n,n,M,S,n,p,n,p,0,s,54,J,p,n
y,4000,33,z,n,n,F,M,n,p,n,p,0,m,11,J,a,n
y,2000,25,z,n,n,M,M,n,p,n,p,0,m,26,P,a,n
y,5000,25,z,n,n,M,S,n,p,n,p,0,m,43,V,a,n
y,5000,28,z,n,n,F,S,n,p,n,p,0,m,0,V,a,n
y,1000,32,z,n,n,M,M,n,p,n,p,0,m,0,V,a,n
y,5000,35,z,n,n,F,M,n,p,n,p,0,s,2,G,a,n
y,3000,31,z,n,n,M,S,n,p,n,p,0,m,3,J,a,n
y,4000,35,z,n,n,M,M,n,p,n,p,0,m,0,V,a,n
y,1000,36,z,n,n,F,M,n,p,n,p,0,s,0,J,a,n
y,3000,24,z,n,n,M,S,n,p,n,p,0,m,22,J,p,n
y,5000,34,z,n,n,F,S,n,p,n,p,0,m,56,V,a,n
y,5000,21,z,n,n,F,M,n,p,n,p,0,m,0,D,p,n
y,5000,15,z,n,n,M,M,n,p,n,c,20,s,43,V,a,n
y,5000,11,z,n,n,M,M,n,p,n,c,70,m,5,J,a,n
y,1000,19,z,n,n,F,S,n,p,n,c,20,m,22,S,a,n
y,5000,19,z,n,n,F,M,n,p,n,c,2,m,23,V,a,n
y,5000,19,z,n,n,M,M,n,p,n,c,2,m,13,V,a,e
y,5000,11,z,n,n,M,M,n,p,n,c,20,m,10,W,a,e
y,5000,18,z,n,n,M,S,n,p,n,c,12,m,2,J,a,n
y,2000,17,z,n,n,F,M,n,p,n,c,12,m,17,V,a,n
y,3000,15,z,n,n,M,S,n,p,n,c,12,m,14,V,p,n
y,5000,19,z,n,y,M,S,n,p,n,c,12,s,5,V,a,n
y,1000,15,z,n,n,F,S,n,p,n,p,0,s,23,G,a,e
y,3000,17,z,n,n,M,M,n,p,n,p,0,s,90,J,a,n
y,1000,15,z,n,n,F,M,n,p,n,p,0,s,7,V,a,n
y,5000,10,z,n,n,F,M,n,p,n,p,0,m,13,J,a,n
y,1000,17,z,n,n,F,M,n,p,n,p,0,s,28,V,a,n
y,5000,17,z,n,n,F,S,n,p,n,p,0,m,11,G,a,n
y,5000,15,z,n,y,M,D,n,p,n,p,0,m,11,S,a,n
y,4000,19,z,n,n,M,M,n,p,n,p,0,m,0,V,a,n
y,5000,15,z,n,n,M,M,n,p,n,p,0,m,1,S,a,n
y,5000,18,z,n,n,M,M,n,p,n,p,0,m,23,V,v,n
y,3000,19,z,n,n,M,M,n,p,n,p,0,s,20,V,a,n
y,5000,16,z,n,n,M,M,n,p,n,p,0,m,2,V,p,n
y,1000,46,z,n,n,M,M,n,p,y,c,12,m,25,V,a,n
y,5000,43,z,n,n,F,M,n,p,y,c,12,s,3,J,a,e
y,3000,49,z,n,n,M,S,n,p,y,p,0,s,31,S,a,n
y,5000,50,z,n,n,M,M,y,p,y,p,0,s,4,V,a,n
y,5000,57,z,n,n,M,S,n,p,y,p,0,m,62,D,p,n
y,1000,52,z,n,n,F,S,n,p,y,p,0,s,8,W,p,n
y,3000,33,z,n,n,F,S,n,p,y,c,24,m,36,V,a,n
y,5000,36,z,n,n,F,M,n,p,y,p,0,m,30,D,a,e
y,2000,32,z,n,n,F,M,n,p,y,p,0,m,24,V,p,n
y,5000,29,z,n,n,F,S,n,p,y,p,0,m,50,P,p,n
y,5000,33,z,n,n,F,M,n,p,y,p,0,m,5,V,a,e
y,3000,34,z,n,n,M,M,n,p,y,p,0,m,7,J,p,n
y,1000,37,z,n,n,M,M,n,p,y,p,0,s,47,J,a,n
y,5000,31,z,n,n,M,S,n,p,y,p,0,m,43,J,v,n
y,3000,29,z,n,n,M,D,n,p,y,p,0,m,34,V,a,n
y,1000,22,z,n,n,M,M,n,p,y,p,0,m,31,G,p,n
y,1000,32,z,n,n,F,M,n,p,y,p,0,m,33,V,a,n
y,2000,35,z,n,n,M,D,n,p,y,p,0,s,62,V,a,n
y,5000,23,z,n,n,M,S,n,p,y,p,0,s,61,J,a,n
y,5000,34,z,n,n,F,S,n,p,y,p,0,m,12,J,a,n
y,2000,31,z,n,n,F,M,n,p,y,p,0,m,3,V,a,n
y,2000,21,z,n,n,F,S,n,p,y,p,0,m,43,S,p,n
y,1000,16,z,n,n,M,M,n,p,y,p,0,m,50,V,a,n
y,2000,15,z,n,n,F,S,n,p,y,p,0,s,1,V,p,n
y,1000,50,z,n,n,F,M,n,p,n,b,0,m,6,V,a,n
y,5000,52,z,n,n,F,M,n,p,n,b,0,m,44,K,a,n
y,1000,57,z,n,n,M,S,n,p,n,c,12,s,4,P,a,n
y,4000,41,z,n,n,F,M,n,p,n,c,2,m,20,P,a,n
y,3000,41,z,n,n,F,D,n,p,n,c,8,s,26,V,a,n
y,3000,46,z,n,n,M,M,n,p,n,c,50,m,10,V,a,e
y,2000,67,z,n,n,F,W,y,p,n,c,2,s,28,P,a,e
y,1000,41,z,n,n,M,S,n,p,n,p,0,s,4,J,a,n
